date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:50	144089/144089	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:a0b9af88c4b4ac06ab326130a97e76a2%22	https://store.vantacheats.to/pages/status	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/pages/status.html	(from )
09:56:51	556/556	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:5502f805a32c18d3cd873ad8e6c6587e%22	https://store.vantacheats.to/robots.txt		(from )
09:56:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:50%20GMT	http://store.vantacheats.to/cdn/shop/files/VantaLogo_44be7e2d-a412-4ca1-8bb9-3ede213286c5_32x32.png?v=1718819834	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/files/VantaLogo_44be7e2d-a412-4ca1-8bb9-3ede213286c5_32x32.24dfe.delayed	(from https://store.vantacheats.to/pages/status)
09:56:51	223345/223345	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jun%202024%2008:07:21%20GMT	https://cdn.shopify.com/s/files/1/0699/2153/8295/files/VantaLogo.png	C:/Users/Crcker2.0/Downloads/weew/cdn.shopify.com/s/files/1/0699/2153/8295/files/VantaLogo.png	(from https://store.vantacheats.to/pages/status)
09:56:51	2697/2697	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202024%2020:02:38%20GMT	https://store.vantacheats.to/cdn/shop/files/VantaLogo_44be7e2d-a412-4ca1-8bb9-3ede213286c5_32x32.png?v=1718819834	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/files/VantaLogo_44be7e2d-a412-4ca1-8bb9-3ede213286c5_32x324dfe.png	(from https://store.vantacheats.to/pages/status)
09:56:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:51%20GMT	http://store.vantacheats.to/cdn/shop/files/Fortnite_b0260e34-dd3e-4985-9a07-0588f36692a6.png?v=1719305055	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/files/Fortnite_b0260e34-dd3e-4985-9a07-0588f36692a69a0f.png	(from https://store.vantacheats.to/pages/status)
09:56:53	4808/4808	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2030%20Jun%202024%2016:56:53%20GMT	https://store.vantacheats.to/checkouts/internal/preloads.js?locale=en-GB	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/checkouts/internal/preloads6116.js	(from https://store.vantacheats.to/pages/status)
09:56:54	1816616/1816616	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jun%202024%2009:11:00%20GMT	https://store.vantacheats.to/cdn/shop/files/Fortnite_b0260e34-dd3e-4985-9a07-0588f36692a6.png?v=1719305055	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/files/Fortnite_b0260e34-dd3e-4985-9a07-0588f36692a69a0f.png	(from https://store.vantacheats.to/pages/status)
09:56:54	0/0	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Jun%202024%2016:56:53%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-GB&shop_id=69921538295	C:/Users/Crcker2.0/Downloads/weew/shop.app/checkouts/internal/preloads.7eae2.delayed	(from https://store.vantacheats.to/pages/status)
09:56:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:53%20GMT	http://store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.8.delayed	(from https://store.vantacheats.to/pages/status)
09:56:55	12547/12547	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2022:35:51%20GMT	https://store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://store.vantacheats.to/pages/status)
09:56:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:54%20GMT	http://store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.a.delayed	(from https://store.vantacheats.to/pages/status)
09:56:56	37678/37678	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2022:53:31%20GMT	https://store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://store.vantacheats.to/pages/status)
09:56:56	139065/139065	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:82cd08cbe26db96d42834ed5e202ab11%22	https://store.vantacheats.to/pages/Liquid%20error%20(layout/theme%20line%2051):%20font_url%20can%20only%20be%20used%20with%20a%20font%20drop	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/pages/Liquid%20error%20(layout/theme%20line%2051)_%20font_url%20can%20only%20be%20used%20with%20a%20font%20drop	(from https://store.vantacheats.to/pages/status)
09:56:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:55%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/blaze.js?v=153689078487321480981718817530	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/blaze.de613.delayed	(from https://store.vantacheats.to/pages/status)
09:56:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:56%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/plyr.js?v=81239015460531390391718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/plyr0d06.js	(from https://store.vantacheats.to/pages/status)
09:56:58	7368/7368	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/blaze.js?v=153689078487321480981718817530	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/blazee613.js	(from https://store.vantacheats.to/pages/status)
09:56:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:57%20GMT	http://store.vantacheats.to/cdn/shop/t/17/assets/core.css?v=20913853800589945161718817531	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/core356f.css	(from https://store.vantacheats.to/pages/status)
09:56:59	113186/113186	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2019%20Jun%202024%2018:09:20%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/plyr.js?v=81239015460531390391718817533	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/plyr0d06.js	(from https://store.vantacheats.to/pages/status)
09:56:59	69464/69464	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2018:09:19%20GMT	https://store.vantacheats.to/cdn/shop/t/17/assets/core.css?v=20913853800589945161718817531	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shop/t/17/assets/core356f.css	(from https://store.vantacheats.to/pages/status)
09:56:59	139065/139065	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:82cd08cbe26db96d42834ed5e202ab11%22	https://store.vantacheats.to/pages/POST	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/pages/POST.13.delayed	(from https://store.vantacheats.to/pages/status)
09:57:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:56:58%20GMT	http://store.vantacheats.to/cdn/s/trekkie.storefront.6feac1db1e2c7d84269967dcaefdee0618af51f6.min.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/s/trekkie.storefront.6feac1db1e2c7d84269967dcaefdee0618af51f6.min.js	(from https://store.vantacheats.to/pages/status)
09:57:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Jun%202024%2016:57:00%20GMT	http://store.vantacheats.to/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://store.vantacheats.to/pages/status)
09:57:01	116512/116512	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2014%20Jun%202024%2019:46:00%20GMT	https://store.vantacheats.to/cdn/s/trekkie.storefront.6feac1db1e2c7d84269967dcaefdee0618af51f6.min.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/s/trekkie.storefront.6feac1db1e2c7d84269967dcaefdee0618af51f6.min.js	(from https://store.vantacheats.to/pages/status)
09:57:01	8298/8298	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20May%202024%2000:13:02%20GMT	https://store.vantacheats.to/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	C:/Users/Crcker2.0/Downloads/weew/store.vantacheats.to/cdn/shopifycloud/shopify/assets/shop_events_listener-61fa9e0a912c675e178777d2b27f6cbd482f8912a6b0aa31fa3515985a8cd626.js	(from https://store.vantacheats.to/pages/status)
